Authorized Date,Posted Date,Status,Account Name,Description,Primary Category,Detailed Category,Amount
2025-12-30,2025-12-30,Posted,Checking - 9631,PayPal,Transfers,Other transfers,-25.81
2025-12-30,2025-12-30,Posted,Checking - 9631,Wells Fargo Bilt Mastercard,Transfers,Other transfers,-3808.26
2025-12-30,2025-12-30,Posted,Savings - 7571,Direct Deposit,Income,Other income,2304.42
2025-12-30,2025-12-30,Posted,Personal Profile,Connor Grady Second Place,Transfers,Account transfers,-25.00
2025-12-30,2025-12-30,Posted,Personal Profile,Adam Greger First Place,Transfers,Account transfers,-225.00
2025-12-30,2025-12-30,Posted,Personal Profile,Mark Levins First Place,Transfers,Account transfers,-1350.00
2025-12-30,2025-12-30,Posted,Personal Profile,Sean Richards Second Place,Transfers,Account transfers,-150.00
2025-12-28,2025-12-28,Posted,Savings - 7571,Transfer to Checking,Transfers,Other transfers,-3726.00
2025-12-28,2025-12-28,Posted,Checking - 9631,Transfer From Savings,Transfers,Other transfers,3726.00
2025-12-28,2025-12-28,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,ACH,Debt payments,Credit card payments,3808.26
2025-12-28,2025-12-28,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Restaurante Aroeira Herdade,Food & drink,Restaurants & bars,-41.29
2025-12-27,2025-12-27,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,EL CORTE INGLES LISBOA PT,Food & drink,Restaurants & bars,-17.70
2025-12-27,2025-12-27,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,UCI EL CORTE INGLES LISBOA PT,Entertainment,Movies & TV,-19.82
2025-12-26,2025-12-26,Posted,Checking - 9631,Zelle,Income,Other income,200.00
2025-12-26,2025-12-26,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Metropolitano De Lisbo Lisbon Pt,Transportation,Public transit,-4.37
2025-12-26,2025-12-26,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Metropolitano De Lisbo Lisbon Pt,Transportation,Public transit,-10.92
2025-12-25,2025-12-25,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Metropolitano De Lisbo Lisbon Pt,Transportation,Public transit,-4.37
2025-12-25,2025-12-25,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Metropolitano De Lisbo Lisbon Pt,Transportation,Public transit,-2.18
2025-12-24,2025-12-24,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,The Green Quest Lisboa Pt,Food & drink,Restaurants & bars,-55.59
2025-12-24,2025-12-24,Posted,Prime Visa ***6239,Xbox,Entertainment,Games,-33.08
2025-12-24,2025-12-24,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Zara,Shopping,Clothing & accessories,-49.32
2025-12-24,2025-12-24,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Restaurante O Bistro Lisboa Pt,Food & drink,Restaurants & bars,-92.12
2025-12-23,2025-12-23,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Loures,Food & drink,Restaurants & bars,-12.98
2025-12-23,2025-12-23,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Xecas Lab Lda Lisboa,Food & drink,Restaurants & bars,-13.65
2025-12-23,2025-12-23,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,McDonald's,Food & drink,Restaurants & bars,-10.15
2025-12-22,2025-12-22,Posted,Personal Profile,P2P Transfer,Transfers,Other transfers,23.50
2025-12-21,2025-12-22,Posted,Blue Cash Preferred® ***1009,Spotify,Entertainment,Music & audio,-11.99
2025-12-21,2025-12-21,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,RODRIGO FERREIRA LISBOA PT,Food & drink,Liquor stores,-11.74
2025-12-21,2025-12-21,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Al.nord,Services,Digital services,-151.41
2025-12-21,2025-12-21,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Amago Restauracao,Food & drink,Restaurants & bars,-305.21
2025-12-20,2025-12-20,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Tavares,Food & drink,Liquor stores,-20.31
2025-12-20,2025-12-20,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Landeau Chiado Lda Lisboa Pt,Food & drink,Coffee shops,-6.22
2025-12-20,2025-12-20,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Foxtrot Lisboa Pt,Food & drink,Restaurants & bars,-16.43
2025-12-20,2025-12-20,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Mango Lisboa Liberdade,Shopping,Clothing & accessories,-46.94
2025-12-19,2025-12-19,Posted,Checking - 9631,Robinhood,Transfers,Other transfers,-25.00
2025-12-19,2025-12-19,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Holmesplace,Health & wellness,Fitness,-35.29
2025-12-18,2025-12-18,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Metropolitano De Lisbo Lisbon Pt,Transportation,Public transit,-4.36
2025-12-18,2025-12-18,Posted,Blue Cash Preferred® ***1009,Apple,Transfers,Other transfers,-19.99
2025-12-17,2025-12-17,Posted,Savings - 7571,Direct Deposit,Income,Other income,2289.43
2025-12-17,2025-12-17,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Metropolitano De Lisbo Lisbon Pt,Transportation,Public transit,-2.18
2025-12-17,2025-12-18,Posted,Prime Visa ***6239,Amazon Prime,Services,Digital services,-16.45
2025-12-17,2025-12-17,Posted,Blue Cash Preferred® ***1009,Apple,Transfers,Other transfers,-2.99
2025-12-17,2025-12-17,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Bowling City Lisboa Pt,Entertainment,Events & recreation,-18.85
2025-12-16,2025-12-16,Posted,Checking - 9631,American Express,Transfers,Other transfers,-366.01
2025-12-16,2025-12-16,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Carris,Transportation,Parking & tolls,-2.59
2025-12-16,2025-12-16,Posted,Checking - 9631,Chase Credit Card,Transfers,Other transfers,-360.61
2025-12-16,2025-12-16,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Han Table Barbecue Lisboa Pt,Food & drink,Restaurants & bars,-89.92
2025-12-16,2025-12-16,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Oceanario De,Entertainment,Events & recreation,-10.58
2025-12-16,2025-12-16,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Telecabine Lisboa Pt,Entertainment,Events & recreation,-17.65
2025-12-15,2025-12-15,Posted,Savings - 7571,Transfer to Checking,Transfers,Other transfers,-742.00
2025-12-15,2025-12-15,Posted,Checking - 9631,Transfer From Savings,Transfers,Other transfers,742.00
2025-12-15,2025-12-15,Posted,Checking - 9631,Robinhood,Transfers,Other transfers,-25.00
