Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
2/18/2021,CHASE CREDIT CRD EPAY ON 02/18,ACH HOLD CHASE CREDIT CRD EPAY ON 02/18,225.04,debit,Credit Card Payment,Adv Plus Banking - 1705,,
2/18/2021,Amazon Purchase,AMZN Mktp US,7.44,debit,Amazon Purchases,CREDIT CARD,,
2/18/2021,Ralphs,RALPHS 0278,9.1,debit,Groceries,CREDIT CARD,,
2/17/2021,Zelle Transfer Conf# T09V3YCFQ; GEORGE RODKEY,Zelle Transfer Conf# T09V3YCFQ;                             GEORGE RODKEY,650.0,credit,Transfer,Adv Plus Banking - 1705,,
2/17/2021,Acorns Invest Des,Acorns Invest    DES:Transfer   ID:5K3XJN                    INDN:Elias Rodkey            CO ID:XXXXX42693 WEB,6.41,debit,Transfer,Adv Plus Banking - 1705,,
2/17/2021,Payment Thank You-Mobile,Payment Thank You-Mobile,225.04,credit,Credit Card Payment,CREDIT CARD,,
2/16/2021,Subscription    ,Subscription     DES:Acorns     ID:576YM1                    INDN:Elias Rodkey            CO ID:XXXXX42694 WEB,3.0,debit,Entertainment,Adv Plus Banking - 1705,,
2/15/2021,Benny's Tacos,BENNYS TACOS,10.41,debit,Restaurants,CREDIT CARD,,
2/15/2021,Uber Eats,UBER   EATS,24.79,debit,Food & Dining,CREDIT CARD,,
2/14/2021,Ralphs,RALPHS 0278,5.48,debit,Groceries,CREDIT CARD,,
2/14/2021,In-N-Out Burger,IN N OUT BURGER 117,10.02,debit,Fast Food,CREDIT CARD,,
2/14/2021,Ralphs,RALPHS 0278,30.87,debit,Groceries,CREDIT CARD,,
2/12/2021,BKOFAMERICA MOBILE 02/12 3687588246 DEPOSIT *MOBILE WA,BKOFAMERICA MOBILE 02/12 3687588246 DEPOSIT                                    *MOBILE       WA,30.0,credit,Income,Adv Plus Banking - 1705,,
2/12/2021,Amazon Purchase,AMZN Mktp US*HN5YI8JD3,7.65,debit,Amazon Purchases,CREDIT CARD,,
2/11/2021,Ralphs,RALPHS 0278,90.78,debit,Groceries,CREDIT CARD,,
2/11/2021,Amazon Purchase,AMZN Mktp US*U814T5LR3,10.9,debit,Amazon Purchases,CREDIT CARD,,
2/11/2021,Amazon Purchase,AMZN Mktp US*CO0QD8QU3,16.41,debit,Amazon Purchases,CREDIT CARD,,
2/11/2021,Amazon Purchase,AMZN Mktp US*4E9FQ81U3,17.73,debit,Amazon Purchases,CREDIT CARD,,
2/10/2021,CHASE CREDIT CRD,CHASE CREDIT CRD DES:EPAY       ID:XXXXX70053                INDN:ELIAS P RODKEY          CO ID:XXXXX39224 WEB,236.5,debit,Credit Card Payment,Adv Plus Banking - 1705,,
2/09/2021,"Online Banking Transfer Conf# 67340d71d; WILLIAMS, TAMARA","Online Banking Transfer Conf# 67340d71d;                    WILLIAMS, TAMARA",700.0,credit,Transfer,Adv Plus Banking - 1705,,
2/09/2021,DOORDASH*WACKY WOK WES WWW.DOORDASH.CA 24011341040000016715861,CHECKCARD  0209 DOORDASH*WACKY WOK WES                      WWW.DOORDASH.CA 24011341040000016715861,24.06,debit,Restaurants,Adv Plus Banking - 1705,,
2/09/2021,Payment Thank You-Mobile,Payment Thank You-Mobile,236.5,credit,Credit Card Payment,CREDIT CARD,,
2/07/2021,Vons,VONS #3058,81.87,debit,Groceries,CREDIT CARD,,
2/05/2021,Disney Plus,DisneyPLUS,6.0,debit,Subscription,CREDIT CARD,,
2/04/2021,Apple Cloud Storage,PURCHASE   0203 APPLE.COM/BILL                              866-712-7753 CA 24692161034100651481302 RECURRING,0.99,debit,Subscription,Adv Plus Banking - 1705,,
2/04/2021,Xbox Live,PAYPAL           DES:INST XFER  ID:MICROSOFT XBOX            INDN:ELIAS RODKEY            CO ID:PAYPALSI77 WEB,11.01,debit,Subscription,Adv Plus Banking - 1705,,
2/04/2021,Subscription    ,Subscription     DES:Acorns     ID:WN0RL1                    INDN:Elias Rodkey            CO ID:XXXXX42694 WEB,3.0,debit,Entertainment,Adv Plus Banking - 1705,,
2/03/2021,Ralphs,RALPHS 0278,6.67,debit,Groceries,CREDIT CARD,,
2/02/2021,Acorns Invest Des,Acorns Invest    DES:Transfer   ID:RYMV7N                    INDN:Elias Rodkey            CO ID:XXXXX42693 WEB,10.0,debit,Transfer,Adv Plus Banking - 1705,,
2/02/2021,Interest Earned,Interest Earned,0.03,credit,Interest Income,Regular Savings - 1721,,
2/02/2021,Robinhood,ROBINHOOD        DES:Funds      ID:XXXXX2049                 INDN:Elias Rodkey            CO ID:XXXXX64776 WEB,20.0,debit,Investments,Adv Plus Banking - 8815,,
2/02/2021,The Shack,THE SHACK- PLAYA DEL REY,38.38,debit,Restaurants,CREDIT CARD,,
2/02/2021,Eggs,Eggs,1.0,debit,Groceries,Venmo,,
1/31/2021,Ralphs,RALPHS 0278,28.32,debit,Groceries,CREDIT CARD,,
1/29/2021,Ralphs,RALPHS 0278,65.67,debit,Groceries,CREDIT CARD,,
1/27/2021,Venmo Payment,VENMO            DES:PAYMENT    ID:XXXXX83286                INDN:ELI RODKEY              CO ID:XXXXX81992 WEB,1405.0,debit,Transfer,Adv Plus Banking - 1705,,
1/27/2021,February rent,February rent,1405.0,debit,Mortgage & Rent,Venmo,,
1/26/2021,Online Banking transfer from CHK 8815 Confirmation# 3270845253,Online Banking transfer from CHK 8815                       Confirmation# 3270845253,500.0,credit,Transfer,Adv Plus Banking - 1705,,
1/26/2021,CHASE CREDIT CRD,CHASE CREDIT CRD DES:EPAY       ID:XXXXX31709                INDN:ELIAS P RODKEY          CO ID:XXXXX39224 WEB,138.76,debit,Credit Card Payment,Adv Plus Banking - 1705,,
1/26/2021,Online Banking transfer to CHK 1705 Confirmation# 3270845253,Online Banking transfer to CHK 1705                         Confirmation# 3270845253,500.0,debit,Transfer,Adv Plus Banking - 8815,,
1/26/2021,RAISING CANE'S #200,RAISING CANE'S #200,9.59,debit,Fast Food,CREDIT CARD,,
1/25/2021,Xbox Live,PAYPAL           DES:INST XFER  ID:SPOTIFYUSAI               INDN:ELIAS RODKEY            CO ID:PAYPALSI77 WEB,10.78,debit,Subscription,Adv Plus Banking - 1705,Subscription,Xbox live
